,cell_id,x,y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,170675,19881,9379,10.443666,5.18008,1.6428763,1.8305566,4.5748467,2.1200848,4.4657907,2.7660158,4.534157,1.5349725,7.2003603,5.229595,5.1603794,3.3008368,5.540023,6.2732563,6.510029,4.8751636,4.3125963,5.5870857
1,170785,19875,9350,10.779125,4.8974133,1.6014125,1.7529161,5.001122,2.4978461,5.059615,2.481543,5.077939,2.3257475,6.8901978,6.0634103,5.4392242,3.2606084,5.426469,5.9968753,5.385398,5.952893,5.176041,5.6584573
2,170808,19886,9330,10.407656,5.0705214,2.3784864,2.0079508,4.330352,2.732731,5.0424237,2.7010605,4.6442504,2.5274067,7.536117,5.5878634,5.456973,3.258981,5.900383,6.7416096,5.5032144,5.476658,4.692442,5.474796
3,170818,19904,9160,10.951814,4.8595057,2.4852264,2.1871948,4.5846725,3.0406368,4.463252,2.6084776,3.7193773,1.9440187,7.1386395,5.2395334,4.8210416,3.421153,5.8294444,6.7853117,5.745656,5.9817247,4.380412,5.8889494
4,170819,19902,9216,10.322035,4.784518,2.1979818,2.068559,5.126876,2.409638,5.2631726,2.2684996,3.7366805,2.7237132,6.623801,5.8015,5.1803865,3.3993134,5.9402614,6.185019,5.9689207,6.0135703,4.6893735,5.5859165
5,170883,19888,9619,10.696202,4.8203225,2.2585733,1.8582305,4.6489983,2.26075,4.730652,2.2643628,3.7205343,2.3710759,7.2535973,5.067003,5.598834,3.5732725,6.498866,6.94551,6.1251774,5.8607454,4.3147306,5.832475
6,170916,19889,9356,10.757563,5.2686515,2.9774034,1.5820895,4.7118316,2.6350765,5.3861456,2.0156019,3.7013717,2.8089445,7.2419515,5.4692764,4.758513,3.1721385,6.1351194,6.859495,5.5085454,6.27404,4.363327,5.20665
7,170934,19895,9306,10.753411,4.8671055,2.196034,1.8942398,4.6655684,2.310375,4.783159,2.2302778,3.69615,2.3744323,7.050509,5.10575,5.531164,3.6536603,6.424406,6.924579,6.1181784,5.9646735,4.289519,5.8370843
8,170943,19900,9264,10.874159,4.6593647,1.7865357,2.046498,4.542307,2.4481769,4.2141786,2.567168,4.0804024,2.163409,7.311192,5.291642,5.159624,3.20568,6.1259975,6.7380586,5.9024105,6.068773,5.021272,5.7226415
9,170989,19904,9274,10.624919,5.25301,3.0180895,1.5749068,4.9056067,2.6336,5.463434,1.9269654,3.7503636,2.804941,7.1372943,5.525772,4.7614193,3.2049868,6.0447187,6.6224546,5.550358,6.129117,4.469871,5.3496375
10,171002,19905,9797,10.857615,5.154363,2.7330947,1.7630466,4.3013444,2.7091541,4.680398,2.2200966,3.4795332,2.6270094,7.597208,5.0630794,4.9672236,3.3118036,6.682678,7.2680182,5.2393236,6.2612314,4.635353,5.8193583
11,171016,19906,9134,10.369172,4.5491166,2.1169722,2.1064115,4.8186445,2.6944702,5.4938555,2.4092941,4.0865397,2.0069714,7.2662597,5.8983307,5.5037413,3.5537026,5.8975716,6.137696,5.954021,5.4861436,4.5379486,5.728411
12,171024,19912,9110,10.510475,5.096418,2.9050667,1.6474755,5.029358,2.5796232,5.297753,1.8351399,3.757598,2.7546225,7.0304313,5.4156,4.746139,3.3149948,6.0187955,6.466063,5.5121994,6.0094004,4.792745,5.743503
13,171025,19907,9187,10.732176,4.002541,1.7480112,2.0044274,5.0385313,2.5873218,5.295336,2.2605531,4.6960535,2.4810433,6.8811393,6.083269,4.9698734,3.511497,5.410394,5.57912,5.769318,5.768893,4.4880877,5.507609
14,171053,19902,9632,10.703728,4.182607,1.8957793,1.9459361,5.2302656,2.7882452,5.2032013,2.6794765,3.7902255,2.6981657,7.182502,6.0621266,4.8794727,3.0266585,5.266342,6.536505,5.964611,5.9046893,4.649779,5.150958
15,171071,19913,9361,10.63145,5.230221,2.1586637,1.8322729,4.554713,2.7892144,5.2332125,2.5344083,4.6269865,2.2808745,7.1133947,5.6667037,5.2470636,3.0252557,5.622005,6.5579114,5.45982,5.5752397,4.602876,5.6253242
16,171102,19913,9242,10.834885,3.984094,2.0177822,2.2219849,4.5015235,2.7310207,5.002936,2.2622192,3.603107,2.3671243,7.248879,6.212355,4.5939984,3.3372695,5.86853,6.627772,5.8198295,5.8333364,5.142828,5.477367
17,171143,19926,9134,10.977927,4.7024846,2.0833404,1.8869874,5.2952585,2.9392269,5.3198075,2.9118738,3.5865183,2.4573302,6.6893044,6.3191733,5.451019,3.4122057,4.89383,6.810057,6.713691,5.842067,4.8244357,5.2391453
18,171152,19924,9270,10.706356,4.726103,1.8977914,1.7420409,4.8858724,2.5280194,4.4383698,2.5615513,3.8250575,2.025185,7.680497,5.265367,4.9712553,3.1108992,5.918235,6.4324126,5.9435396,5.239194,4.709062,5.6468964
19,171161,19922,9305,10.530868,5.226895,3.0395885,1.6089796,4.992014,2.6491873,5.407265,1.8270986,3.696102,2.762443,7.099779,5.4815197,4.691583,3.2331245,6.061654,6.454561,5.504403,5.9787235,4.702407,5.658435
20,171198,19930,9543,10.536351,4.9924817,2.215176,1.8948123,4.9241133,2.4125693,4.8448853,2.1558676,3.641371,2.3551471,6.9801254,5.275812,5.171394,3.4247868,6.1517205,6.6654735,5.460287,6.2834473,5.040556,6.173991
21,171206,19933,9329,11.005115,4.830174,1.6539104,2.0567102,4.3968406,2.4770494,4.7969894,2.3396382,4.3867426,2.891449,7.106421,5.853056,4.70295,3.1042879,6.023163,6.1558294,5.6559315,6.152209,4.673152,5.06503
22,171233,19928,9210,10.932338,4.5922,2.3781843,1.8235426,3.989082,2.931407,4.1755204,2.4938161,3.5052495,2.2534528,8.316803,4.5926485,4.8809547,3.0408127,6.9387903,7.1744504,4.738475,6.2011485,4.9952602,6.1325774
